# ell cibdBeta_1.0_T_10.7_gy cibdBeta_1.0_T_10.7_yy cibdBeta_1.2_T_10.7_gy cibdBeta_1.2_T_10.7_yy
5.176499999999999091e+03 -1.436158770671185848e-14 1.877469519898860049e-16 -9.267390712603025600e-15 1.162761123658288096e-16
5.226499999999999091e+03 3.145882833746488223e-15 1.914187284880129524e-16 5.395812941752853540e-15 1.187359150370010805e-16
5.276499999999998181e+03 -5.245860173326557563e-17 1.989312006981503479e-16 8.503151784066958796e-16 1.235552883621953285e-16
5.326499999999998181e+03 1.191912153731658552e-14 2.073000622498306608e-16 1.097807677178515445e-14 1.288883182281914048e-16
5.376499999999998181e+03 1.952162786421072696e-14 2.140525960560438768e-16 1.731528238226873830e-14 1.332683485570476011e-16
5.426499999999998181e+03 -3.879033379705535211e-15 2.199590589204673694e-16 -1.305068468789120602e-15 1.371940969179690747e-16
5.476499999999998181e+03 -1.153771230883012151e-14 2.221715821325365407e-16 -7.125313081892466315e-15 1.386825495064223304e-16
5.526499999999998181e+03 9.758322683772059789e-15 2.263289346942966936e-16 9.654081138820297044e-15 1.415460860380327959e-16
5.576499999999998181e+03 -6.368796920401886995e-15 2.263142923078082297e-16 -3.408122566652804587e-15 1.416138052381601423e-16
5.626499999999998181e+03 -1.136146657552690409e-14 2.259757313851564316e-16 -7.718663018069958835e-15 1.416576968885778630e-16
5.676499999999998181e+03 8.071879010620847641e-15 2.238847310289208807e-16 7.964103529110939101e-15 1.403683197797566744e-16
5.726499999999998181e+03 7.271003332092347261e-15 2.257137593388059149e-16 6.776890752238086173e-15 1.417914939664924327e-16
5.776499999999998181e+03 -1.056093648091303060e-14 2.222312477985933548e-16 -7.134748010841611034e-15 1.399420848406507444e-16
5.826499999999998181e+03 -3.832593558510541837e-15 2.236604857526141578e-16 -2.632576785371402479e-15 1.409810504068419794e-16
5.876499999999998181e+03 1.176313040362711601e-14 2.257401521142426964e-16 1.072900765307811080e-14 1.426111457012984590e-16
5.926499999999998181e+03 -2.174604842850856883e-14 2.272842391477550511e-16 -1.497993650606650291e-14 1.438224098141894324e-16
5.976499999999998181e+03 7.764020837708012106e-15 2.316572653459392229e-16 6.174412945569846635e-15 1.466098129396904736e-16
6.026499999999998181e+03 -8.086282112575538301e-15 2.358619124595286760e-16 -4.964218743219704489e-15 1.495305211144425522e-16
6.076499999999999091e+03 -2.121814355665703136e-14 2.461231173594240248e-16 -1.591767573779007748e-14 1.561963759073948647e-16
